data,model,params,n,thread,iter,map5095,map50,precision,recall,f1,n_all,n_fn,n_fp,family,size
0_all,yolo12x,59.1,32,8,2,0.3976,0.7287,0.8279,0.6139,0.705,1160,392,202,YOLOv12,large
0_all,yolo12x,59.1,128,8,2,0.5611,0.8573,0.905,0.7647,0.8289,1160,252,95,YOLOv12,large
0_all,yolo12x,59.1,500,8,2,0.6238,0.9236,0.8846,0.856,0.8701,1160,123,152,YOLOv12,large
a1_t2s,yolo12x,59.1,32,8,2,0.098,0.2002,0.3229,0.189,0.2384,709,591,156,YOLOv12,large
a1_t2s,yolo12x,59.1,128,8,2,0.0868,0.1716,0.4367,0.1622,0.2365,709,574,230,YOLOv12,large
a1_t2s,yolo12x,59.1,500,8,2,0.1112,0.207,0.3513,0.2102,0.263,709,560,230,YOLOv12,large
a2_s2t,yolo12x,59.1,32,8,2,0.0897,0.2417,0.3987,0.306,0.3463,451,260,316,YOLOv12,large
a2_s2t,yolo12x,59.1,128,8,2,0.2146,0.4516,0.5813,0.4058,0.4779,451,212,324,YOLOv12,large
a2_s2t,yolo12x,59.1,500,8,2,0.38,0.6828,0.7425,0.643,0.6892,451,140,149,YOLOv12,large
b_light,yolo12x,59.1,32,8,2,0.3067,0.561,0.7796,0.4868,0.5993,436,202,103,YOLOv12,large
b_light,yolo12x,59.1,128,8,2,0.4859,0.732,0.8323,0.6374,0.7219,436,163,43,YOLOv12,large
b_light,yolo12x,59.1,500,8,2,0.5315,0.8185,0.8328,0.75,0.7892,436,98,59,YOLOv12,large
0_all,yolo11x,56.9,32,8,2,0.4096,0.7089,0.7966,0.6095,0.6906,1160,487,101,YOLOv11,large
0_all,yolo11x,56.9,128,8,2,0.5669,0.8712,0.9026,0.7784,0.8359,1160,256,74,YOLOv11,large
0_all,yolo11x,56.9,500,8,2,0.6345,0.9265,0.9193,0.8655,0.8916,1160,139,92,YOLOv11,large
a1_t2s,yolo11x,56.9,32,8,2,0.0691,0.1592,0.3171,0.1354,0.1898,709,624,99,YOLOv11,large
a1_t2s,yolo11x,56.9,128,8,2,0.0734,0.1432,0.2195,0.1312,0.1642,709,619,219,YOLOv11,large
a1_t2s,yolo11x,56.9,500,8,2,0.1046,0.2005,0.3797,0.2186,0.2775,709,548,214,YOLOv11,large
a2_s2t,yolo11x,56.9,32,8,2,0.145,0.3921,0.4932,0.4213,0.4544,451,213,338,YOLOv11,large
a2_s2t,yolo11x,56.9,128,8,2,0.1445,0.3287,0.4504,0.3171,0.3722,451,248,362,YOLOv11,large
a2_s2t,yolo11x,56.9,500,8,2,0.2572,0.488,0.5716,0.4556,0.5071,451,204,247,YOLOv11,large
b_light,yolo11x,56.9,32,8,2,0.3728,0.6514,0.7616,0.5757,0.6557,436,175,94,YOLOv11,large
b_light,yolo11x,56.9,128,8,2,0.4922,0.7218,0.8496,0.6307,0.724,436,172,31,YOLOv11,large
b_light,yolo11x,56.9,500,8,2,0.5362,0.8366,0.8366,0.7615,0.7973,436,85,88,YOLOv11,large
0_all,rtdetr-x,86.0,32,8,2,0.442,0.7767,0.8321,0.7181,0.7709,1160,232,356,DETR,large
0_all,rtdetr-x,86.0,128,8,2,0.4009,0.7014,0.7991,0.6164,0.6959,1160,292,644,DETR,large
0_all,rtdetr-x,86.0,500,8,2,0.5944,0.9039,0.9036,0.8181,0.8587,1160,74,717,DETR,large
a1_t2s,rtdetr-x,86.0,32,8,2,0.0847,0.1523,0.4109,0.1608,0.2311,709,578,192,DETR,large
a1_t2s,rtdetr-x,86.0,128,8,2,0.1121,0.2158,0.5178,0.213,0.3018,709,512,352,DETR,large
a1_t2s,rtdetr-x,86.0,500,8,2,0.1294,0.233,0.4571,0.2384,0.3133,709,503,381,DETR,large
a2_s2t,rtdetr-x,86.0,32,8,2,0.3004,0.5935,0.6678,0.5765,0.6188,451,76,1469,DETR,large
a2_s2t,rtdetr-x,86.0,128,8,2,0.2475,0.4985,0.6561,0.4302,0.5196,451,144,784,DETR,large
a2_s2t,rtdetr-x,86.0,500,8,2,0.4653,0.7797,0.8549,0.7054,0.773,451,83,330,DETR,large
b_light,rtdetr-x,86.0,32,8,2,0.3593,0.6452,0.8178,0.5734,0.6741,436,141,201,DETR,large
b_light,rtdetr-x,86.0,128,8,2,0.3981,0.6952,0.8024,0.6009,0.6872,436,136,132,DETR,large
b_light,rtdetr-x,86.0,500,8,2,0.3619,0.6208,0.8283,0.555,0.6647,436,138,356,DETR,large
0_all,rtdetr-l,45.0,32,8,2,0.4518,0.7739,0.8489,0.7026,0.7688,1160,245,524,DETR,small
0_all,rtdetr-l,45.0,128,8,2,0.5571,0.8797,0.9008,0.7974,0.846,1160,141,403,DETR,small
0_all,rtdetr-l,45.0,500,8,2,0.6259,0.9381,0.9186,0.8612,0.889,1160,50,504,DETR,small
a1_t2s,rtdetr-l,45.0,32,8,2,0.1003,0.1994,0.4452,0.1876,0.264,709,566,169,DETR,small
a1_t2s,rtdetr-l,45.0,128,8,2,0.103,0.1863,0.454,0.1834,0.2612,709,552,270,DETR,small
a1_t2s,rtdetr-l,45.0,500,8,2,0.1376,0.255,0.4735,0.2708,0.3446,709,492,309,DETR,small
a2_s2t,rtdetr-l,45.0,32,8,2,0.2815,0.5611,0.6633,0.5241,0.5855,451,149,389,DETR,small
a2_s2t,rtdetr-l,45.0,128,8,2,0.3285,0.5928,0.6392,0.5432,0.5873,451,120,443,DETR,small
a2_s2t,rtdetr-l,45.0,500,8,2,0.473,0.7779,0.7973,0.7238,0.7588,451,80,261,DETR,small
b_light,rtdetr-l,45.0,32,8,2,0.3868,0.6625,0.8315,0.5734,0.6787,436,136,252,DETR,small
b_light,rtdetr-l,45.0,128,8,2,0.4957,0.7772,0.887,0.7022,0.7839,436,80,580,DETR,small
b_light,rtdetr-l,45.0,500,8,2,0.5282,0.8134,0.8686,0.7432,0.801,436,72,226,DETR,small
0_all,yolo12n,2.6,32,8,2,0.425,0.7442,0.804,0.644,0.7151,1160,443,102,YOLOv12,small
0_all,yolo12n,2.6,128,8,2,0.5527,0.8672,0.9171,0.7824,0.8444,1160,231,97,YOLOv12,small
0_all,yolo12n,2.6,500,8,2,0.6123,0.9218,0.9054,0.8405,0.8717,1160,118,194,YOLOv12,small
a1_t2s,yolo12n,2.6,32,8,2,0.0705,0.1411,0.1704,0.0959,0.1227,709,670,14,YOLOv12,small
a1_t2s,yolo12n,2.6,128,8,2,0.0823,0.161,0.3442,0.134,0.1929,709,615,118,YOLOv12,small
a1_t2s,yolo12n,2.6,500,8,2,0.1131,0.2185,0.4812,0.2116,0.2939,709,553,167,YOLOv12,small
a2_s2t,yolo12n,2.6,32,8,2,0.1181,0.3681,0.4954,0.4136,0.4508,451,192,578,YOLOv12,small
a2_s2t,yolo12n,2.6,128,8,2,0.2727,0.5053,0.6765,0.4656,0.5516,451,234,72,YOLOv12,small
a2_s2t,yolo12n,2.6,500,8,2,0.3293,0.6041,0.7243,0.5166,0.6031,451,166,190,YOLOv12,small
b_light,yolo12n,2.6,32,8,2,0.362,0.6355,0.7707,0.5596,0.6484,436,176,88,YOLOv12,small
b_light,yolo12n,2.6,128,8,2,0.4695,0.7565,0.8551,0.6766,0.7554,436,131,66,YOLOv12,small
b_light,yolo12n,2.6,500,8,2,0.5074,0.808,0.9012,0.7113,0.7951,436,99,76,YOLOv12,small
0_all,yolo11n,2.6,32,8,2,0.4181,0.7373,0.8072,0.6498,0.72,1160,383,159,YOLOv11,small
0_all,yolo11n,2.6,128,8,2,0.5885,0.8915,0.9158,0.8065,0.8577,1160,213,74,YOLOv11,small
0_all,yolo11n,2.6,500,8,2,0.6355,0.9316,0.9329,0.8516,0.8904,1160,113,125,YOLOv11,small
a1_t2s,yolo11n,2.6,32,8,2,0.0933,0.1825,0.5545,0.0987,0.1676,709,642,27,YOLOv11,small
a1_t2s,yolo11n,2.6,128,8,2,0.1368,0.2531,0.4587,0.2341,0.31,709,527,247,YOLOv11,small
a1_t2s,yolo11n,2.6,500,8,2,0.1315,0.2425,0.628,0.213,0.3181,709,537,170,YOLOv11,small
a2_s2t,yolo11n,2.6,32,8,2,0.09,0.2095,0.4362,0.2007,0.2749,451,368,49,YOLOv11,small
a2_s2t,yolo11n,2.6,128,8,2,0.3001,0.5306,0.6564,0.4701,0.5478,451,247,67,YOLOv11,small
a2_s2t,yolo11n,2.6,500,8,2,0.2915,0.5616,0.6359,0.5344,0.5807,451,192,135,YOLOv11,small
b_light,yolo11n,2.6,32,8,2,0.3985,0.683,0.8322,0.6032,0.6994,436,161,64,YOLOv11,small
b_light,yolo11n,2.6,128,8,2,0.4759,0.7601,0.873,0.6623,0.7532,436,140,41,YOLOv11,small
b_light,yolo11n,2.6,500,8,2,0.5279,0.8345,0.8843,0.7546,0.8143,436,88,66,YOLOv11,small
0_all,yolo12x,59.1,32,7,1,0.4281,0.7439,0.815,0.6607,0.7297,1160,375,159,YOLOv12,large
0_all,yolo12x,59.1,128,7,1,0.5817,0.8852,0.8817,0.8098,0.8442,1160,203,119,YOLOv12,large
0_all,yolo12x,59.1,500,7,1,0.632,0.9355,0.8948,0.8801,0.8874,1160,112,155,YOLOv12,large
a1_t2s,yolo12x,59.1,32,7,1,0.0455,0.1181,0.1302,0.1227,0.1264,709,656,100,YOLOv12,large
a1_t2s,yolo12x,59.1,128,7,1,0.0954,0.1868,0.4881,0.156,0.2364,709,588,142,YOLOv12,large
a1_t2s,yolo12x,59.1,500,7,1,0.1277,0.2253,0.4692,0.2073,0.2876,709,534,295,YOLOv12,large
a2_s2t,yolo12x,59.1,32,7,1,0.168,0.3205,0.5811,0.2614,0.3606,451,357,38,YOLOv12,large
a2_s2t,yolo12x,59.1,128,7,1,0.2283,0.4469,0.6204,0.4302,0.5081,451,247,109,YOLOv12,large
a2_s2t,yolo12x,59.1,500,7,1,0.3053,0.5418,0.6498,0.5166,0.5756,451,219,103,YOLOv12,large
b_light,yolo12x,59.1,32,7,1,0.3584,0.6129,0.813,0.5183,0.6331,436,185,103,YOLOv12,large
b_light,yolo12x,59.1,128,7,1,0.4777,0.7614,0.8675,0.6459,0.7405,436,140,68,YOLOv12,large
b_light,yolo12x,59.1,500,7,1,0.5298,0.8112,0.883,0.7273,0.7977,436,103,70,YOLOv12,large
0_all,yolo11x,56.9,32,7,1,0.4306,0.7187,0.8568,0.5871,0.6967,1160,467,87,YOLOv11,large
0_all,yolo11x,56.9,128,7,1,0.5987,0.8825,0.9156,0.7845,0.845,1160,258,65,YOLOv11,large
0_all,yolo11x,56.9,500,7,1,0.6352,0.9369,0.9102,0.8664,0.8878,1160,126,140,YOLOv11,large
a1_t2s,yolo11x,56.9,32,7,1,0.0269,0.0685,0.0878,0.0733,0.0799,709,673,75,YOLOv11,large
a1_t2s,yolo11x,56.9,128,7,1,0.1125,0.1936,0.4735,0.1678,0.2478,709,569,252,YOLOv11,large
a1_t2s,yolo11x,56.9,500,7,1,0.1154,0.2135,0.4785,0.2087,0.2907,709,537,278,YOLOv11,large
a2_s2t,yolo11x,56.9,32,7,1,0.104,0.2145,0.5232,0.1774,0.2649,451,384,29,YOLOv11,large
a2_s2t,yolo11x,56.9,128,7,1,0.2321,0.4516,0.7058,0.3991,0.5099,451,292,33,YOLOv11,large
a2_s2t,yolo11x,56.9,500,7,1,0.2716,0.5008,0.6628,0.4346,0.525,451,215,236,YOLOv11,large
b_light,yolo11x,56.9,32,7,1,0.3294,0.5638,0.8567,0.4725,0.6091,436,227,31,YOLOv11,large
b_light,yolo11x,56.9,128,7,1,0.4992,0.7711,0.8444,0.6847,0.7562,436,137,48,YOLOv11,large
b_light,yolo11x,56.9,500,7,1,0.5448,0.8229,0.8641,0.7339,0.7937,436,113,47,YOLOv11,large
0_all,rtdetr-x,86.0,32,7,1,0.4829,0.8036,0.868,0.7198,0.7869,1160,207,493,DETR,large
0_all,rtdetr-x,86.0,128,7,1,0.5442,0.8545,0.8882,0.7871,0.8346,1160,156,469,DETR,large
0_all,rtdetr-x,86.0,500,7,1,0.6147,0.927,0.9173,0.8605,0.888,1160,100,224,DETR,large
a1_t2s,rtdetr-x,86.0,32,7,1,0.0748,0.1756,0.3745,0.2059,0.2657,709,508,491,DETR,large
a1_t2s,rtdetr-x,86.0,128,7,1,0.1462,0.2801,0.5298,0.2849,0.3706,709,450,517,DETR,large
a1_t2s,rtdetr-x,86.0,500,7,1,0.1583,0.2742,0.5826,0.2496,0.3495,709,488,321,DETR,large
a2_s2t,rtdetr-x,86.0,32,7,1,0.3383,0.6194,0.7411,0.5787,0.6499,451,121,522,DETR,large
a2_s2t,rtdetr-x,86.0,128,7,1,0.3464,0.6055,0.6281,0.541,0.5813,451,78,1537,DETR,large
a2_s2t,rtdetr-x,86.0,500,7,1,0.433,0.7466,0.8562,0.6469,0.737,451,74,680,DETR,large
b_light,rtdetr-x,86.0,32,7,1,0.3957,0.6681,0.7771,0.6193,0.6893,436,118,327,DETR,large
b_light,rtdetr-x,86.0,128,7,1,0.3437,0.5923,0.8019,0.5291,0.6376,436,161,324,DETR,large
b_light,rtdetr-x,86.0,500,7,1,0.3342,0.5953,0.7414,0.5259,0.6153,436,136,537,DETR,large
0_all,rtdetr-l,45.0,32,7,1,0.4658,0.764,0.8901,0.6957,0.781,1160,259,418,DETR,small
0_all,rtdetr-l,45.0,128,7,1,0.5277,0.8664,0.8903,0.7707,0.8262,1160,133,655,DETR,small
0_all,rtdetr-l,45.0,500,7,1,0.619,0.9256,0.9135,0.8654,0.8888,1160,97,191,DETR,small
a1_t2s,rtdetr-l,45.0,32,7,1,0.0862,0.1798,0.4758,0.1636,0.2435,709,578,178,DETR,small
a1_t2s,rtdetr-l,45.0,128,7,1,0.1189,0.2156,0.4204,0.237,0.3031,709,507,608,DETR,small
a1_t2s,rtdetr-l,45.0,500,7,1,0.1365,0.2357,0.638,0.2158,0.3225,709,514,380,DETR,small
a2_s2t,rtdetr-l,45.0,32,7,1,0.3584,0.6285,0.7558,0.5654,0.6469,451,104,831,DETR,small
a2_s2t,rtdetr-l,45.0,128,7,1,0.2978,0.5701,0.6502,0.507,0.5698,451,113,504,DETR,small
a2_s2t,rtdetr-l,45.0,500,7,1,0.458,0.7259,0.8152,0.6231,0.7063,451,94,324,DETR,small
b_light,rtdetr-l,45.0,32,7,1,0.4242,0.7065,0.8611,0.6445,0.7372,436,118,220,DETR,small
b_light,rtdetr-l,45.0,128,7,1,0.4851,0.759,0.8623,0.7036,0.7749,436,91,334,DETR,small
b_light,rtdetr-l,45.0,500,7,1,0.5121,0.8061,0.8296,0.7454,0.7852,436,80,258,DETR,small
0_all,yolo12n,2.6,32,7,1,0.4324,0.7421,0.8077,0.6552,0.7235,1160,386,163,YOLOv12,small
0_all,yolo12n,2.6,128,7,1,0.5657,0.8765,0.8919,0.7983,0.8425,1160,207,116,YOLOv12,small
0_all,yolo12n,2.6,500,7,1,0.6104,0.9258,0.906,0.8558,0.8802,1160,128,156,YOLOv12,small
a1_t2s,yolo12n,2.6,32,7,1,0.0561,0.1363,0.2623,0.1294,0.1733,709,637,138,YOLOv12,small
a1_t2s,yolo12n,2.6,128,7,1,0.0812,0.1816,0.5023,0.168,0.2517,709,544,437,YOLOv12,small
a1_t2s,yolo12n,2.6,500,7,1,0.107,0.1977,0.5098,0.1834,0.2697,709,564,170,YOLOv12,small
a2_s2t,yolo12n,2.6,32,7,1,0.1014,0.2191,0.476,0.1973,0.279,451,351,103,YOLOv12,small
a2_s2t,yolo12n,2.6,128,7,1,0.2115,0.4066,0.6476,0.3725,0.473,451,265,100,YOLOv12,small
a2_s2t,yolo12n,2.6,500,7,1,0.2411,0.4682,0.5649,0.4612,0.5078,451,205,251,YOLOv12,small
b_light,yolo12n,2.6,32,7,1,0.3503,0.614,0.7935,0.5288,0.6347,436,177,111,YOLOv12,small
b_light,yolo12n,2.6,128,7,1,0.4658,0.7464,0.8424,0.6858,0.7561,436,133,51,YOLOv12,small
b_light,yolo12n,2.6,500,7,1,0.5313,0.8407,0.8372,0.7638,0.7988,436,80,96,YOLOv12,small
0_all,yolo11n,2.6,32,7,1,0.4673,0.7642,0.8228,0.6517,0.7273,1160,423,103,YOLOv11,small
0_all,yolo11n,2.6,128,7,1,0.5861,0.8935,0.891,0.8043,0.8455,1160,200,123,YOLOv11,small
0_all,yolo11n,2.6,500,7,1,0.6095,0.919,0.9127,0.8383,0.8739,1160,112,239,YOLOv11,small
a1_t2s,yolo11n,2.6,32,7,1,0.0726,0.1578,0.184,0.1425,0.1606,709,644,72,YOLOv11,small
a1_t2s,yolo11n,2.6,128,7,1,0.0977,0.1977,0.4089,0.1622,0.2323,709,594,126,YOLOv11,small
a1_t2s,yolo11n,2.6,500,7,1,0.1204,0.2278,0.3883,0.2113,0.2737,709,548,222,YOLOv11,small
a2_s2t,yolo11n,2.6,32,7,1,0.1211,0.3184,0.4065,0.3171,0.3563,451,333,100,YOLOv11,small
a2_s2t,yolo11n,2.6,128,7,1,0.2258,0.4509,0.657,0.4146,0.5084,451,275,67,YOLOv11,small
a2_s2t,yolo11n,2.6,500,7,1,0.3577,0.6284,0.7423,0.5619,0.6396,451,163,152,YOLOv11,small
b_light,yolo11n,2.6,32,7,1,0.3706,0.6464,0.8048,0.539,0.6456,436,199,53,YOLOv11,small
b_light,yolo11n,2.6,128,7,1,0.4689,0.7382,0.8937,0.6124,0.7268,436,151,58,YOLOv11,small
b_light,yolo11n,2.6,500,7,1,0.5383,0.8259,0.898,0.711,0.7936,436,96,65,YOLOv11,small
0_all,yolo12x,59.1,32,7,2,0.3908,0.688,0.7702,0.6242,0.6896,1160,407,197,YOLOv12,large
0_all,yolo12x,59.1,128,7,2,0.5569,0.8657,0.877,0.7807,0.826,1160,240,123,YOLOv12,large
0_all,yolo12x,59.1,500,7,2,0.638,0.9372,0.9219,0.8724,0.8965,1160,130,93,YOLOv12,large
a1_t2s,yolo12x,59.1,32,7,2,0.0392,0.1048,0.1971,0.158,0.1754,709,602,253,YOLOv12,large
a1_t2s,yolo12x,59.1,128,7,2,0.105,0.2066,0.4308,0.1879,0.2616,709,565,209,YOLOv12,large
a1_t2s,yolo12x,59.1,500,7,2,0.1067,0.1903,0.4044,0.2078,0.2746,709,544,251,YOLOv12,large
a2_s2t,yolo12x,59.1,32,7,2,0.0911,0.2143,0.5874,0.161,0.2528,451,398,14,YOLOv12,large
a2_s2t,yolo12x,59.1,128,7,2,0.2416,0.4497,0.5735,0.4013,0.4722,451,285,63,YOLOv12,large
a2_s2t,yolo12x,59.1,500,7,2,0.3212,0.6178,0.6729,0.561,0.6119,451,154,182,YOLOv12,large
b_light,yolo12x,59.1,32,7,2,0.3361,0.565,0.7754,0.4771,0.5907,436,239,33,YOLOv12,large
b_light,yolo12x,59.1,128,7,2,0.4273,0.673,0.9132,0.5794,0.709,436,173,72,YOLOv12,large
b_light,yolo12x,59.1,500,7,2,0.5375,0.8151,0.8665,0.7446,0.801,436,105,57,YOLOv12,large
0_all,yolo11x,56.9,32,7,2,0.4273,0.7646,0.808,0.6858,0.7419,1160,278,426,YOLOv11,large
0_all,yolo11x,56.9,128,7,2,0.5765,0.8727,0.9105,0.7819,0.8413,1160,261,72,YOLOv11,large
0_all,yolo11x,56.9,500,7,2,0.6383,0.9312,0.9274,0.8491,0.8866,1160,135,114,YOLOv11,large
a1_t2s,yolo11x,56.9,32,7,2,0.059,0.1413,0.3726,0.1001,0.1579,709,646,64,YOLOv11,large
a1_t2s,yolo11x,56.9,128,7,2,0.1256,0.2254,0.4611,0.1763,0.2551,709,567,212,YOLOv11,large
a1_t2s,yolo11x,56.9,500,7,2,0.1026,0.1898,0.3901,0.2017,0.2659,709,555,247,YOLOv11,large
a2_s2t,yolo11x,56.9,32,7,2,0.1196,0.2489,0.4656,0.2106,0.2901,451,375,42,YOLOv11,large
a2_s2t,yolo11x,56.9,128,7,2,0.2284,0.4499,0.6618,0.4169,0.5115,451,280,53,YOLOv11,large
a2_s2t,yolo11x,56.9,500,7,2,0.2752,0.527,0.6734,0.4324,0.5266,451,208,174,YOLOv11,large
b_light,yolo11x,56.9,32,7,2,0.3784,0.63,0.7838,0.5736,0.6624,436,157,120,YOLOv11,large
b_light,yolo11x,56.9,128,7,2,0.4677,0.7188,0.847,0.6476,0.734,436,159,39,YOLOv11,large
b_light,yolo11x,56.9,500,7,2,0.5381,0.8207,0.908,0.7246,0.806,436,104,62,YOLOv11,large
0_all,rtdetr-x,86.0,32,7,2,0.4612,0.7655,0.857,0.6991,0.7701,1160,271,249,DETR,large
0_all,rtdetr-x,86.0,128,7,2,0.5656,0.8729,0.8742,0.8181,0.8452,1160,98,972,DETR,large
0_all,rtdetr-x,86.0,500,7,2,0.6228,0.9233,0.9137,0.8666,0.8895,1160,95,213,DETR,large
a1_t2s,rtdetr-x,86.0,32,7,2,0.0881,0.1826,0.3959,0.2045,0.2697,709,538,262,DETR,large
a1_t2s,rtdetr-x,86.0,128,7,2,0.1225,0.2529,0.4228,0.3103,0.3579,709,413,789,DETR,large
a1_t2s,rtdetr-x,86.0,500,7,2,0.1678,0.3109,0.5711,0.2906,0.3852,709,456,334,DETR,large
a2_s2t,rtdetr-x,86.0,32,7,2,0.2101,0.4209,0.6091,0.3681,0.4589,451,219,397,DETR,large
a2_s2t,rtdetr-x,86.0,128,7,2,0.3911,0.6675,0.8102,0.6142,0.6987,451,111,660,DETR,large
a2_s2t,rtdetr-x,86.0,500,7,2,0.3296,0.534,0.6183,0.5233,0.5668,451,140,546,DETR,large
b_light,rtdetr-x,86.0,32,7,2,0.4081,0.6806,0.8858,0.5963,0.7128,436,149,97,DETR,large
b_light,rtdetr-x,86.0,128,7,2,0.4355,0.6909,0.8818,0.6261,0.7323,436,132,139,DETR,large
b_light,rtdetr-x,86.0,500,7,2,0.3963,0.673,0.7627,0.5963,0.6693,436,102,549,DETR,large
0_all,rtdetr-l,45.0,32,7,2,0.4931,0.8027,0.8734,0.7164,0.7871,1160,210,607,DETR,small
0_all,rtdetr-l,45.0,128,7,2,0.4794,0.7861,0.8503,0.7009,0.7684,1160,234,440,DETR,small
0_all,rtdetr-l,45.0,500,7,2,0.6154,0.911,0.8941,0.8592,0.8763,1160,117,221,DETR,small
a1_t2s,rtdetr-l,45.0,32,7,2,0.0543,0.1237,0.4076,0.1298,0.1969,709,583,357,DETR,small
a1_t2s,rtdetr-l,45.0,128,7,2,0.142,0.2573,0.496,0.2468,0.3296,709,475,554,DETR,small
a1_t2s,rtdetr-l,45.0,500,7,2,0.1522,0.2702,0.5532,0.2496,0.344,709,495,283,DETR,small
a2_s2t,rtdetr-l,45.0,32,7,2,0.3784,0.6542,0.7401,0.5745,0.6468,451,129,355,DETR,small
a2_s2t,rtdetr-l,45.0,128,7,2,0.3203,0.6065,0.6571,0.5809,0.6167,451,127,451,DETR,small
a2_s2t,rtdetr-l,45.0,500,7,2,0.4207,0.6679,0.7912,0.5876,0.6743,451,155,116,DETR,small
b_light,rtdetr-l,45.0,32,7,2,0.3898,0.6971,0.805,0.6147,0.6971,436,122,159,DETR,small
b_light,rtdetr-l,45.0,128,7,2,0.4656,0.7477,0.8958,0.6702,0.7668,436,125,66,DETR,small
b_light,rtdetr-l,45.0,500,7,2,0.5071,0.7944,0.8733,0.672,0.7596,436,90,155,DETR,small
0_all,yolo12n,2.6,32,7,2,0.4312,0.7612,0.829,0.675,0.7441,1160,344,185,YOLOv12,small
0_all,yolo12n,2.6,128,7,2,0.5825,0.8858,0.8898,0.8143,0.8504,1160,204,99,YOLOv12,small
0_all,yolo12n,2.6,500,7,2,0.6189,0.9231,0.9017,0.8703,0.8857,1160,114,142,YOLOv12,small
a1_t2s,yolo12n,2.6,32,7,2,0.0592,0.1537,0.3184,0.1255,0.1801,709,632,79,YOLOv12,small
a1_t2s,yolo12n,2.6,128,7,2,0.0884,0.1956,0.3454,0.1636,0.222,709,591,123,YOLOv12,small
a1_t2s,yolo12n,2.6,500,7,2,0.1108,0.2122,0.3899,0.2045,0.2683,709,567,150,YOLOv12,small
a2_s2t,yolo12n,2.6,32,7,2,0.1286,0.2991,0.3925,0.3459,0.3677,451,300,147,YOLOv12,small
a2_s2t,yolo12n,2.6,128,7,2,0.2351,0.4381,0.6259,0.3703,0.4653,451,276,84,YOLOv12,small
a2_s2t,yolo12n,2.6,500,7,2,0.3052,0.5412,0.6896,0.4634,0.5543,451,195,212,YOLOv12,small
b_light,yolo12n,2.6,32,7,2,0.3554,0.6353,0.7706,0.5642,0.6515,436,145,223,YOLOv12,small
b_light,yolo12n,2.6,128,7,2,0.4539,0.7241,0.8179,0.656,0.728,436,143,48,YOLOv12,small
b_light,yolo12n,2.6,500,7,2,0.5263,0.8428,0.8713,0.7638,0.814,436,84,84,YOLOv12,small
0_all,yolo11n,2.6,32,7,2,0.4367,0.7757,0.8044,0.6879,0.7416,1160,252,411,YOLOv11,small
0_all,yolo11n,2.6,128,7,2,0.5686,0.8682,0.891,0.796,0.8408,1160,218,101,YOLOv11,small
0_all,yolo11n,2.6,500,7,2,0.6196,0.9259,0.92,0.8626,0.8904,1160,132,106,YOLOv11,small
a1_t2s,yolo11n,2.6,32,7,2,0.0423,0.1056,0.1119,0.1269,0.119,709,657,88,YOLOv11,small
a1_t2s,yolo11n,2.6,128,7,2,0.0988,0.2029,0.556,0.1622,0.2511,709,578,164,YOLOv11,small
a1_t2s,yolo11n,2.6,500,7,2,0.1171,0.194,0.3931,0.1749,0.2421,709,586,121,YOLOv11,small
a2_s2t,yolo11n,2.6,32,7,2,0.1167,0.251,0.568,0.1996,0.2953,451,372,29,YOLOv11,small
a2_s2t,yolo11n,2.6,128,7,2,0.2214,0.449,0.557,0.459,0.5033,451,233,137,YOLOv11,small
a2_s2t,yolo11n,2.6,500,7,2,0.343,0.6013,0.7363,0.5188,0.6087,451,202,78,YOLOv11,small
b_light,yolo11n,2.6,32,7,2,0.4236,0.6948,0.8344,0.6123,0.7063,436,183,32,YOLOv11,small
b_light,yolo11n,2.6,128,7,2,0.4822,0.7665,0.8464,0.6952,0.7634,436,128,45,YOLOv11,small
b_light,yolo11n,2.6,500,7,2,0.5288,0.8278,0.9009,0.7202,0.8005,436,103,62,YOLOv11,small
