data,model,params,n,thread,iter,map5095,map50,precision,recall,f1,n_all,n_fn,n_fp,family,size
a2_s2t,rtdetr-x,86.0,32,4,2,0.2833,0.4944,0.6905,0.4346,0.5334,451,151,898,DETR,large
a2_s2t,rtdetr-x,86.0,128,4,2,0.2442,0.4774,0.5951,0.479,0.5307,451,167,494,DETR,large
a2_s2t,rtdetr-x,86.0,500,4,2,0.4166,0.7167,0.7668,0.6341,0.6942,451,70,906,DETR,large
b_light,rtdetr-x,86.0,32,4,2,0.3844,0.6341,0.8181,0.5826,0.6805,436,159,170,DETR,large
b_light,rtdetr-x,86.0,128,4,2,0.4585,0.7313,0.8109,0.6858,0.7431,436,106,288,DETR,large
b_light,rtdetr-x,86.0,500,4,2,0.5316,0.8168,0.8727,0.7477,0.8054,436,71,230,DETR,large
0_all,rtdetr-l,45.0,32,4,2,0.4662,0.7839,0.8849,0.7089,0.7871,1160,244,365,DETR,small
0_all,rtdetr-l,45.0,128,4,2,0.5459,0.8726,0.8905,0.8034,0.8447,1160,141,361,DETR,small
0_all,rtdetr-l,45.0,500,4,2,0.6307,0.9337,0.9219,0.8664,0.8933,1160,69,306,DETR,small
a1_t2s,rtdetr-l,45.0,32,4,2,0.0999,0.2112,0.487,0.2129,0.2963,709,539,172,DETR,small
a1_t2s,rtdetr-l,45.0,128,4,2,0.0884,0.1584,0.4184,0.1763,0.2481,709,564,212,DETR,small
a1_t2s,rtdetr-l,45.0,500,4,2,0.1367,0.233,0.6494,0.2195,0.328,709,536,169,DETR,small
a2_s2t,rtdetr-l,45.0,32,4,2,0.3131,0.5641,0.6924,0.49,0.5739,451,162,514,DETR,small
a2_s2t,rtdetr-l,45.0,128,4,2,0.3882,0.6616,0.6802,0.6098,0.6431,451,87,752,DETR,small
a2_s2t,rtdetr-l,45.0,500,4,2,0.488,0.7663,0.8286,0.6785,0.7461,451,89,374,DETR,small
