rtdetr-x,70.25,3080ti
rtdetr-x,70.43,3080ti
rtdetr-x,70.47,3080ti
rtdetr-x,70.15,3080ti
rtdetr-x,70.27,3080ti
rtdetr-x,70.38,3080ti
rtdetr-x,70.32,3080ti
rtdetr-x,70.42,3080ti
rtdetr-x,69.93,3080ti
rtdetr-x,70.41,3080ti
rtdetr-x,70.33,3080ti
rtdetr-x,70.19,3080ti
rtdetr-x,70.32,3080ti
rtdetr-x,69.93,3080ti
rtdetr-x,70.42,3080ti
rtdetr-x,70.3,3080ti
rtdetr-x,70.17,3080ti
rtdetr-x,70.24,3080ti
rtdetr-x,70.23,3080ti
rtdetr-x,70.25,3080ti
rtdetr-l,116.39,3080ti
rtdetr-l,116.16,3080ti
rtdetr-l,116.34,3080ti
rtdetr-l,116.06,3080ti
rtdetr-l,116.26,3080ti
rtdetr-l,116.26,3080ti
rtdetr-l,116.23,3080ti
rtdetr-l,116.11,3080ti
rtdetr-l,116.16,3080ti
rtdetr-l,116.08,3080ti
rtdetr-l,116.12,3080ti
rtdetr-l,116.32,3080ti
rtdetr-l,116.21,3080ti
rtdetr-l,116.24,3080ti
rtdetr-l,116.2,3080ti
rtdetr-l,116.18,3080ti
rtdetr-l,116.09,3080ti
rtdetr-l,115.88,3080ti
rtdetr-l,116.09,3080ti
rtdetr-l,115.9,3080ti
rtdetr-l,116.07,3080ti
rtdetr-l,116.24,3080ti
rtdetr-l,116.15,3080ti
rtdetr-l,116.13,3080ti
rtdetr-l,116.17,3080ti
rtdetr-l,115.85,3080ti
rtdetr-l,116.17,3080ti
rtdetr-l,115.89,3080ti
rtdetr-l,116.08,3080ti
