data,pretrain,model,params,n,thread,iter,map5095,map50,precision,recall,f1,n_all,n_fn,n_fp,family,size
e_VT,False,rtdetr-x,86.0,16,5,2,0.4852,0.8194,0.8475,0.7489,0.7951,408,89,69,DETR,large
e_IMU,True,rtdetr-l,45.0,16,5,2,0.4081,0.7612,0.7917,0.7092,0.7482,808,175,209,DETR,small
e_IMU,False,rtdetr-l,45.0,16,5,2,0.4095,0.7616,0.7921,0.7054,0.7463,808,190,213,DETR,small
e_VT,True,rtdetr-l,45.0,16,5,2,0.4378,0.7848,0.8381,0.6936,0.7591,408,84,121,DETR,small
e_VT,False,rtdetr-l,45.0,16,5,2,0.483,0.8168,0.8717,0.6995,0.7762,408,73,120,DETR,small
e_IMU,True,yolo12n,2.6,16,5,2,0.3249,0.6827,0.7407,0.6213,0.6758,808,202,420,YOLOv12,small
e_IMU,False,yolo12n,2.6,16,5,2,0.4061,0.7627,0.7959,0.69,0.7392,808,186,244,YOLOv12,small
e_VT,True,yolo12n,2.6,16,5,2,0.3605,0.7038,0.7507,0.6052,0.6702,408,91,289,YOLOv12,small
e_VT,False,yolo12n,2.6,16,5,2,0.4892,0.8068,0.8058,0.7353,0.7689,408,78,161,YOLOv12,small
e_IMU,True,yolo11n,2.6,16,5,2,0.342,0.704,0.7619,0.6262,0.6874,808,192,441,YOLOv11,small
e_IMU,False,yolo11n,2.6,16,5,2,0.4101,0.7386,0.8308,0.6064,0.7011,808,270,150,YOLOv11,small
e_VT,True,yolo11n,2.6,16,5,2,0.3558,0.6958,0.7851,0.6103,0.6868,408,124,183,YOLOv11,small
e_VT,False,yolo11n,2.6,16,5,2,0.4731,0.8146,0.8561,0.7143,0.7788,408,105,74,YOLOv11,small
e_IMU,True,rtdetr-x,86.0,16,5,3,0.3754,0.7411,0.815,0.6844,0.744,808,209,293,DETR,large
e_IMU,False,rtdetr-x,86.0,16,5,3,0.4148,0.7752,0.8217,0.7018,0.757,808,157,393,DETR,large
e_VT,True,rtdetr-x,86.0,16,5,3,0.3968,0.6748,0.8205,0.5711,0.6734,408,103,343,DETR,large
e_VT,False,rtdetr-x,86.0,16,5,3,0.4709,0.8113,0.7862,0.7843,0.7853,408,68,119,DETR,large
e_IMU,True,rtdetr-l,45.0,16,5,3,0.3796,0.7309,0.8126,0.6762,0.7381,808,203,290,DETR,small
e_IMU,False,rtdetr-l,45.0,16,5,3,0.4107,0.7784,0.8228,0.7183,0.767,808,132,468,DETR,small
